latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.99592,4.8458,304.62,0.44,0.63,2026-09-18,43,N21,VIIRS,n,2.0NRT,287.78,0.87,N
35.70585,4.47433,307.9,0.4,0.6,2026-09-18,45,N21,VIIRS,n,2.0NRT,291.94,1.07,N
35.70589,4.47647,306.7,0.4,0.6,2026-09-18,45,N21,VIIRS,n,2.0NRT,291.98,1.33,N
35.80595,-0.24243,299.62,0.75,0.77,2026-09-18,45,N21,VIIRS,n,2.0NRT,288.06,4,N
35.8061,-0.25056,311.09,0.75,0.77,2026-09-18,45,N21,VIIRS,n,2.0NRT,288.17,4,N
35.80624,-0.25868,340.82,0.75,0.77,2026-09-18,45,N21,VIIRS,n,2.0NRT,288.43,8.03,N
35.80639,-0.26672,325.2,0.75,0.77,2026-09-18,45,N21,VIIRS,n,2.0NRT,287.76,8.03,N
35.80859,-0.25308,328.95,0.75,0.77,2026-09-18,45,N21,VIIRS,n,2.0NRT,288.12,17.4,N
35.80878,-0.26107,367,0.75,0.77,2026-09-18,45,N21,VIIRS,h,2.0NRT,288.9,17.4,N
35.80896,-0.26921,302.09,0.75,0.77,2026-09-18,45,N21,VIIRS,n,2.0NRT,287.84,16.01,N
35.81347,-0.26725,299.94,0.75,0.77,2026-09-18,45,N21,VIIRS,n,2.0NRT,288.47,8.03,N
35.81361,-0.27518,312.18,0.75,0.77,2026-09-18,45,N21,VIIRS,n,2.0NRT,287.99,5.22,N
35.87961,4.44613,311.24,0.4,0.6,2026-09-18,45,N21,VIIRS,n,2.0NRT,292.48,1.43,N
43.42842,4.89006,298.9,0.32,0.54,2026-09-18,224,N21,VIIRS,n,2.0NRT,288.21,0.83,N
43.43092,4.89609,303.42,0.32,0.54,2026-09-18,224,N21,VIIRS,n,2.0NRT,287.83,1.07,N
43.43214,4.89617,300.67,0.32,0.54,2026-09-18,224,N21,VIIRS,n,2.0NRT,287.37,0.83,N
43.43314,4.89245,316.78,0.32,0.54,2026-09-18,224,N21,VIIRS,n,2.0NRT,288.5,0.83,N
43.43663,4.89474,308.57,0.32,0.54,2026-09-18,224,N21,VIIRS,n,2.0NRT,287.53,1.07,N
43.4376,4.89103,315.23,0.32,0.54,2026-09-18,224,N21,VIIRS,n,2.0NRT,288.33,2.42,N
43.43885,4.89114,314.04,0.32,0.54,2026-09-18,224,N21,VIIRS,n,2.0NRT,288.57,6.36,N
43.44258,4.89723,339.24,0.32,0.54,2026-09-18,224,N21,VIIRS,n,2.0NRT,289.33,3.7,N
43.44829,4.89596,306.53,0.32,0.54,2026-09-18,224,N21,VIIRS,n,2.0NRT,287.5,1.56,N
35.60008,-5.4342,300.4,0.46,0.39,2026-09-18,226,N21,VIIRS,n,2.0NRT,288.84,0.82,N
35.80442,-0.24997,300.44,0.54,0.51,2026-09-18,226,N21,VIIRS,n,2.0NRT,271.67,3.92,N
35.80579,-0.25583,342.94,0.54,0.51,2026-09-18,226,N21,VIIRS,n,2.0NRT,272.73,4.04,N
